IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.9422,-0.3992,-0.0306,-0.8146,-0.5945,-1.3559,0.5771,-0.0232,-0.3324,-0.5863
-0.4643,-0.2982,-0.0428,-0.2996,-0.7893,-0.9849,-0.2209,0.0895,-0.3095,-0.5019
-0.0810,-0.3731,-0.3513,-0.4850,-0.9294,-0.9257,0.0536,0.0243,-0.4766,-0.1484
0.1742,-0.3082,-0.0575,0.0697,-0.2091,-0.4332,0.0687,-1.2143,-0.0383,-0.1092
0.3891,0.1895,0.6465,0.8066,-0.0517,0.0383,-0.0611,-0.1184,-0.2620,-0.3873
0.4488,0.7695,1.1359,1.1647,0.5323,0.2122,1.3533,0.3714,0.0920,0.2769
0.2641,0.3252,0.7752,1.0129,0.0439,-0.4411,0.9272,0.8325,-0.3676,-0.3581
-0.3549,-0.1908,-0.0636,-0.4175,-0.7076,-0.8803,1.5275,0.6768,-0.5987,-0.5764
-0.2519,-0.3567,-0.7198,-0.8212,-0.6135,-0.6273,0.8527,-0.2916,-0.5900,-0.3703
0.3859,0.2603,0.1901,0.0701,0.1545,0.4918,0.3787,-0.0770,-0.3229,-0.0062
0.6125,0.4804,0.7804,0.7820,0.9236,0.6768,1.2915,-0.0495,-0.0821,0.1985
0.2522,0.3097,1.0079,1.1956,0.5270,0.4450,1.6199,-0.3151,-0.0534,0.0124
-0.2123,-0.5331,0.2861,0.1645,-0.0670,-0.0522,0.0873,-0.6332,-0.1628,0.1379
-0.3186,-1.1240,-0.6020,0.0144,-0.2663,0.1755,-0.6026,-0.6485,-0.6528,-0.4813
-0.0643,-0.7149,-0.2187,-0.0820,-0.7202,0.2776,-0.4874,-1.3689,-0.5492,-0.2360
0.1106,0.0968,0.1851,0.2371,-0.1353,0.3649,0.7638,-0.3506,0.1057,0.2874
0.2795,0.5110,0.5317,0.6961,0.2342,0.3045,1.5583,0.2661,0.1237,0.1818
-0.9322,0.2415,0.6771,0.3472,0.0674,-0.5397,1.7954,0.1392,-0.2419,-0.4190
-0.8768,-0.2695,0.0495,-0.1997,0.4533,-0.0935,1.1684,0.1703,-0.4683,-0.9013
-0.2762,-0.3008,0.6122,0.7356,0.6590,0.2987,0.5898,0.0611,-0.5275,-0.5568
-0.2697,-0.4542,0.3109,0.3276,0.4414,0.5000,0.1654,-0.3957,-0.5503,-0.3408
-0.1394,-0.1305,0.1392,0.0584,0.2881,0.4449,0.6893,-0.5903,-0.1967,-0.2118
-0.5513,-0.5828,-0.2336,0.1165,0.0025,0.2253,0.7651,-0.1428,-0.5643,-0.5755
-0.3051,-0.2573,0.2411,0.1656,0.4040,0.1228,0.2596,-0.5931,0.1306,-0.1735
-1.0506,-0.3180,-0.0765,-0.0623,0.3067,0.0047,0.4912,-0.8019,-0.4862,-0.8515
