IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.4918,-0.0323,2.9675,2.4055,1.1097,0.3372,1.3616,1.2904,0.7550,0.5306
-0.4116,-0.2234,2.8759,1.9771,1.1479,0.5174,0.3599,-0.1156,0.3844,0.3988
-0.4560,-0.0429,2.2634,1.4739,0.6162,-0.1013,-0.3359,0.6191,0.6447,0.9332
-0.3573,0.2231,2.1071,1.4193,0.7498,0.2018,0.8835,1.4255,0.0650,0.4570
-0.6787,-0.5783,1.3163,0.7915,0.1169,-0.4093,0.1229,-0.6775,-0.3923,-0.0162
-1.0155,-0.9414,0.2886,-0.4024,-1.1102,-1.2636,0.4946,-0.4706,-0.7589,-0.9044
-0.6076,-0.8284,-0.5578,-0.8146,-1.0677,-0.7239,0.5936,0.2229,-0.6405,-0.8313
-0.1986,-0.8068,-1.1772,-0.8973,-1.1253,-0.5087,-1.1659,0.5110,-0.6616,-0.5583
0.1795,-0.3834,-0.7694,-1.0609,-0.9477,0.0922,0.0496,-0.1163,-0.4826,-0.3465
0.0178,-0.3211,-0.7023,-0.1435,-0.8910,-0.1795,-0.0414,-0.0122,-0.3665,-0.4832
0.5220,0.3470,0.0872,0.1360,0.2905,0.0722,-1.4662,-0.3389,0.1610,0.2157
0.4821,0.9667,0.3521,-0.0615,0.5406,-0.1593,1.5022,0.1394,0.8089,0.4892
0.7830,1.3397,0.4444,-0.3945,1.2128,0.2361,-0.2109,0.1998,1.1100,0.5833
0.9348,1.6059,0.3140,-0.4858,1.1786,0.3620,-0.2411,0.6064,1.3596,0.6323
0.3470,1.1175,0.2880,0.0082,0.7896,0.4560,-0.5136,-0.6950,0.8356,0.3249
-0.0011,0.1012,-0.0783,0.0531,-0.0460,0.5485,-1.7578,-0.8730,-0.0327,-0.1474
-0.5817,-0.5496,-0.6074,-0.3040,-0.6257,-0.1761,-0.1775,-1.1238,-0.6351,-0.4201
0.1398,0.1519,-1.0198,-1.1517,-0.5038,0.2647,-0.4452,-1.0535,-0.2901,-0.0004
