A1_L,A1_R,A2_L,A2_R,PCG_L
-0.3030,-0.0487,0.3483,0.2737,-0.4911
0.2550,-0.0967,0.5055,0.3511,0.1586
0.1243,-0.2081,0.1817,-0.0341,0.6569
-0.0082,0.0471,0.2640,-0.1325,0.5902
0.0937,0.1622,0.1463,0.0233,0.2366
-0.1903,0.1642,0.2154,0.1712,0.6792
0.2379,0.4135,-0.0723,0.1664,-0.0070
0.3461,0.0100,-0.2214,-0.5176,-1.0906
-0.0740,0.1533,-0.3181,-0.3965,0.1485
-0.1825,0.1678,-0.0715,-1.1109,0.6936
0.0444,0.3619,-0.0551,-0.4877,0.3316
0.8184,0.6467,0.1454,-0.0527,-0.2866
0.1895,-0.0285,0.1711,-0.3094,-0.3304
-0.3211,-0.5167,-0.4524,-0.5129,0.4155
-0.5756,-0.2334,-0.7552,-0.2707,0.2479
-0.4308,0.3535,0.0984,-0.1554,0.2804
0.6284,0.7045,0.3807,0.0990,0.4243
0.5374,0.7814,0.5794,0.2879,0.3415
0.2792,0.6068,0.8351,0.7340,0.9396
-0.2019,0.5447,0.6306,0.5399,0.8509
0.2140,0.7671,0.4975,0.7600,1.0041
1.3028,0.9178,0.7155,0.9191,0.3575
0.6454,0.5162,0.4611,0.7533,1.1007
-0.0444,0.0934,-0.0041,0.3220,0.5306
-0.2031,-0.1248,0.2210,0.3414,0.1096
-0.6544,-0.0551,0.0132,0.5727,0.4156
-0.1230,0.0277,0.1949,0.2991,0.1339
0.7930,0.1883,0.7947,0.5001,0.2945
0.3361,0.0743,0.0289,0.2840,0.3921
0.1287,0.5227,0.3342,0.2907,0.8841
-0.0182,0.3331,0.3650,0.2972,1.0764
0.1494,0.4574,0.8352,0.6543,0.8922
0.2582,0.1031,0.6870,0.6422,0.8488
-0.1098,-0.5252,-0.0658,-0.0239,0.7283
-0.1903,-0.3102,-0.1390,-0.1336,0.3846
-0.6964,-0.5019,-0.2722,-0.5358,-0.2684
-0.6216,-0.5477,-0.7642,-0.8792,-0.8975
-0.8262,-1.2432,-1.9509,-1.8118,-1.9278
-0.7145,-0.9544,-1.4496,-1.4987,-1.1998
0.0208,0.0647,-0.4627,-0.4815,-0.5197
-0.0469,-0.0526,-0.1330,-0.4046,-0.2713
-0.4190,-0.2810,-0.6038,-0.5606,-1.4342
-0.2263,-0.6871,-0.3038,-0.3777,-0.8671
-0.2694,-0.8469,-0.0234,-0.2571,-0.3228
