IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
0.0336,0.1408,0.6763,0.0928,0.4274,-0.0236,-0.5464,0.0224,0.3954,0.5063
0.5032,0.4748,0.4820,0.2933,0.1784,0.1688,0.1606,0.1279,0.8700,1.0849
0.2903,0.3013,0.5426,0.1880,0.6432,0.6583,0.5696,0.7324,0.3621,0.4517
0.3609,0.4774,0.7954,0.3585,0.5949,0.2932,0.1789,0.9008,0.4657,0.4958
-0.3893,0.0080,0.8613,0.5947,0.6146,0.2668,0.7020,0.2613,0.2065,0.0260
-0.6684,-0.1272,0.5532,-0.1804,0.1302,-0.3749,0.1153,-0.2691,-0.1568,-0.5934
-0.6774,-0.3124,0.0491,-0.7028,-0.1202,-0.4701,0.0127,-0.7937,0.1702,-0.1527
-0.3278,-0.2080,-0.1122,0.1883,-0.6056,-0.1066,-0.2521,0.0687,0.0315,-0.0561
0.2162,0.1958,0.6125,0.1677,-0.3231,-0.1633,-1.0732,0.0573,0.5422,0.2928
0.3943,0.3551,0.5893,0.7364,-0.0279,0.5440,0.2266,0.6361,0.4379,0.3836
0.1462,0.5833,-0.3428,-0.0061,0.0338,0.2656,-0.8569,0.4548,0.2976,0.4938
-0.0177,-0.3599,-0.4638,-0.2104,-0.5264,-0.2468,-0.4040,0.6107,0.0116,0.1150
-0.1587,-0.5419,-0.2981,-0.2803,-0.6483,-0.4054,0.2562,0.1575,0.0502,-0.2429
-0.1330,-0.0276,-0.0232,-0.0955,-0.4459,-0.6017,-0.6109,-0.5590,-0.1612,-0.2401
0.3041,0.3151,-0.1951,-0.1792,-0.7141,-0.1184,-0.9467,-0.8055,-0.1320,-0.1015
0.9093,0.5940,0.0570,0.1584,-0.2257,0.3158,-1.5451,-0.9855,0.1567,-0.0357
1.3587,1.3443,-0.0400,0.4886,0.1737,0.6728,-1.4657,-0.5146,0.7128,0.3143
1.3322,1.6887,-0.9083,-0.5625,0.3546,0.7342,-0.7712,-1.5615,0.4234,-0.0519
1.1368,1.1061,-1.8591,-1.4080,-0.3088,0.0208,-2.2066,-1.1615,0.0761,-0.4168
0.1034,0.3445,-2.3961,-1.7703,-0.7283,-0.3224,-1.2371,-1.7087,-0.7929,-0.9362
0.0322,-0.1510,-1.8077,-1.3515,-0.9703,-0.7109,-1.1174,-1.1201,-0.3873,-0.5716
-0.1313,-0.6587,-1.1366,-1.3948,-0.9830,0.0975,-0.0090,-0.1989,-0.3563,-0.0780
0.0053,-0.8583,-1.2365,-1.6088,-0.7585,-0.4474,-0.0858,0.7814,-0.2828,0.0662
-0.9077,-1.2541,-1.7175,-1.5413,-0.7744,-0.4205,-0.0355,-1.0197,-1.2231,-0.9241
-0.6981,-0.7712,-1.9533,-1.5487,-0.6785,-0.6433,-0.6182,-1.3954,-0.7489,-0.9558
-0.7545,-0.4657,-1.2682,-0.5451,-0.2551,-0.4477,-0.9179,-1.5416,-0.9127,-1.0451
-0.1582,-0.1012,-0.4180,-0.2848,-0.1630,-0.2324,-0.0670,-0.8535,-0.5827,-0.5166
-0.0551,-0.2044,0.2453,0.2678,-0.0681,0.3800,1.2924,-0.1843,-0.6689,-0.4574
0.4101,0.3936,0.7549,0.5667,0.6163,0.7711,0.1250,0.1228,-0.1249,0.1058
-0.0369,0.2749,0.7732,1.3202,0.3068,0.6653,0.4791,-0.2778,-0.3542,-0.1780
-0.0508,0.7638,0.5884,0.4585,0.1599,0.0613,-0.4229,0.1787,0.1686,0.3104
-0.2311,0.1612,0.4058,0.4143,0.2448,0.1138,1.4701,0.2544,0.0692,0.1318
-0.0103,0.1342,0.8860,0.5145,0.1658,0.2996,-0.5687,0.4113,0.5000,0.5873
-0.4529,-0.6165,0.3605,0.2221,-0.0138,0.3126,1.5686,0.1837,0.0706,0.3175
-0.1022,-0.2585,-0.1838,-0.3580,-0.5297,-0.5184,0.2538,-0.7312,0.2246,0.3676
-0.7554,-0.4169,-0.1049,0.0712,-0.6815,-0.7090,-0.7995,-0.9836,-0.6615,-0.5935
-0.2682,0.1139,-0.0067,-0.5114,-0.3412,-0.8446,-1.5119,-0.8727,-0.6704,-0.7835
-0.4298,-0.0430,-0.4215,-0.5054,-0.0547,-0.2519,-0.3225,-1.3084,-1.0170,-1.2996
0.1462,0.4627,-0.1812,-0.7230,0.0123,0.0411,-1.0947,-0.8085,-0.1918,-0.3447
-0.5426,-0.1912,-0.1613,-0.4089,0.3451,0.1454,0.6685,-0.2190,-0.3844,-0.4047
-0.2311,-0.3063,0.3077,-0.1029,0.3570,-0.1214,-0.5871,0.1597,0.1313,0.1705
-0.4093,-0.3280,0.5018,0.2631,0.2138,-0.0083,0.0489,0.0720,-0.2289,-0.3775
-0.2112,-0.1929,0.4832,-0.3304,-0.4361,-0.3755,0.3935,-0.1522,-0.5778,-0.7407
-0.2814,-0.6483,0.0270,-0.6344,-0.5502,-0.5139,0.7365,-0.3176,-1.1138,-1.0523
-0.3216,-0.5353,-0.4615,-1.2996,-0.8303,-0.4188,0.7817,0.0997,-0.7061,-0.9904
-0.2884,-0.8161,-0.7929,-1.2948,-0.6325,-0.0053,-0.6099,-0.5919,-1.1104,-0.9018
-0.0615,-0.5845,-0.8478,-1.3860,-0.7616,-0.0751,-0.5888,0.2870,-0.7489,-0.6242
-0.0158,-0.2027,-0.7287,-0.6487,-0.2640,-0.0270,-0.7438,0.0715,-0.8604,-0.5333
-0.3485,-0.0603,-0.0509,-0.4242,-0.3659,-0.4415,-0.7439,0.2843,-0.5570,-0.2524
-0.5331,-0.5272,-0.4260,-0.1154,-0.4107,-0.1390,0.7883,0.1460,-0.7649,-0.6078
-0.4561,0.0972,0.1607,-0.1755,-0.2198,-0.5597,-0.6408,0.1464,-0.0821,-0.1366
0.1020,0.1025,0.9614,0.8079,0.1773,0.1732,-0.3328,-0.0999,0.5467,0.5151
0.7612,0.7019,0.8380,0.0862,0.1313,0.4966,0.6784,0.9580,1.0369,0.9212
0.4238,-0.2617,-0.1029,0.0452,-0.0220,0.2624,0.8492,1.3078,0.5602,0.6402
0.9879,-0.2315,-0.8029,-0.7475,-0.0072,0.0170,1.2813,0.9038,0.4086,0.6987
0.7739,-0.0130,-0.2524,-0.7447,0.0983,0.1593,0.6366,0.1913,0.2618,0.4610
1.1762,0.2299,0.1548,-0.0674,0.2990,0.6424,0.7538,0.4401,0.8054,1.0928
1.2996,0.7683,0.0474,-0.0152,0.4518,0.8698,1.6698,0.4991,0.7701,1.2026
1.0222,0.6289,0.4816,0.6880,0.4263,0.6845,1.3915,1.1274,0.9277,0.8616
0.4781,0.8858,0.5248,0.9094,0.5408,0.7304,0.4585,0.7435,0.6477,0.8315
0.1990,0.3209,0.8359,0.5382,0.4371,0.4450,0.5270,0.9576,0.4329,0.4315
0.1195,0.2799,0.5358,0.6061,0.5467,0.3283,-0.0424,0.5919,0.1779,0.0746
0.1885,0.3074,0.7277,0.4251,0.5800,0.4374,0.6768,1.4172,0.6189,0.3692
0.4541,0.2687,1.2463,0.5485,0.9885,0.8973,-0.1724,1.3806,0.6720,0.6212
0.2381,0.5144,1.2181,0.8968,1.3488,0.7209,0.3883,1.5108,0.7777,0.6039
0.1175,0.6888,1.1940,1.3170,1.3497,1.4166,1.6509,1.2890,0.6113,0.8628
0.5925,0.6620,0.6520,1.0898,1.0991,1.0455,-0.0745,0.8488,0.4964,0.9249
0.1271,0.4596,0.6217,0.8564,0.5366,0.9235,1.2218,0.4423,0.2754,0.5983
0.1711,0.5018,1.3660,1.1658,1.1589,0.8682,0.1606,0.8092,0.2307,0.3164
-0.3108,0.5132,1.1178,1.0788,0.8448,0.7199,1.4193,0.9197,0.1564,0.1773
-0.5724,0.1030,1.3949,1.3700,0.8769,0.6132,1.3482,0.2203,0.1464,-0.1312
-0.2926,0.4165,0.7906,0.8028,0.1892,0.2332,-0.6560,-0.4280,0.2974,0.0806
-0.1549,0.0909,0.4927,0.2765,-0.1835,0.2861,-1.4530,-0.7827,-0.0084,-0.2406
0.8247,1.1321,-0.1891,-0.0750,-0.0316,0.2402,0.4414,0.0923,0.8159,0.5813
0.9731,1.1332,0.4624,0.6573,0.5306,0.9153,-0.0768,0.9522,0.7469,0.6701
0.9456,1.1132,0.1999,0.1500,0.2313,0.3753,-1.8526,1.0697,0.6458,0.6829
-0.5796,0.1131,0.7572,0.5362,-0.1833,-0.7644,-0.5607,-0.3431,0.1902,-0.0802
-0.7316,0.3317,0.6532,0.3053,-0.0871,-0.8653,-0.0777,0.0421,0.2798,-0.1480
0.1666,0.5076,1.1365,1.0528,1.1926,0.3445,0.4278,1.0718,0.6619,0.1872
0.4631,1.4585,0.9937,0.7649,1.7618,1.0096,0.2380,1.7455,1.0177,0.7386
0.1536,0.9755,0.9110,1.2360,2.0604,1.2960,0.6708,0.8735,0.6670,0.6472
0.9792,1.1392,0.8361,0.7376,1.3962,1.1514,0.4627,1.0446,1.1767,1.1681
0.9923,0.5536,1.1412,1.1198,1.1764,1.4514,1.5024,1.1681,0.4947,0.9781
0.8204,0.2510,1.0355,0.6389,0.2189,0.6550,-0.2347,1.1244,0.4426,1.1386
-0.1768,-0.8302,0.4924,0.5724,-0.1747,0.6510,0.5264,0.5411,-0.3800,0.1735
0.2152,-0.3729,-0.0777,-0.1782,0.1133,0.5829,0.6639,0.6700,-0.1719,0.4921
0.5840,0.0893,0.1208,0.0920,0.6070,0.7942,0.9695,1.3724,-0.1648,0.5149
0.6442,0.0313,0.0360,-0.0931,0.8916,0.5982,-0.7784,0.4625,-0.1244,0.2817
-0.2018,0.1162,-0.4173,-0.8372,0.0913,-0.9948,-0.6532,-0.2705,-0.0444,-0.5312
-1.0205,-0.0374,-0.0604,-0.4645,0.1597,-0.9365,-1.2400,-1.4033,-0.4344,-0.9832
-0.2536,0.0136,0.2872,0.1777,-0.3514,-0.6380,0.8662,-0.2399,0.2581,-0.0991
0.0229,-0.1913,0.0906,0.1485,-0.3344,0.1641,-0.0446,0.4068,0.0666,-0.1429
-0.2938,-0.1490,-0.5895,-0.7772,-0.5378,-0.6622,-1.1023,0.0932,-0.0417,-0.2682
-0.4918,-0.3640,-0.6757,-0.6644,-0.4635,-0.9225,-1.0800,0.7159,-0.3267,-0.4285
-0.1076,-0.5242,-0.6071,-0.2000,-0.7225,-0.8809,-0.6053,0.5257,-0.5659,-0.4892
