IPL_R,IPL_L,mPFC_L,mPFC_R,MFG_L,MFG_R,MTG_L,MTG_R,PCC_L,PCC_R
-0.3918,-0.0219,-0.1217,0.0075,-0.3551,0.3032,0.4441,-0.1107,-0.1502,-0.1917
-0.8296,-0.3946,-0.3238,-0.3425,-0.0465,0.1385,-0.0808,-0.6102,-0.4462,-0.1968
-0.2921,-0.3229,0.0137,-0.0849,-0.6970,-0.4955,0.5886,-0.3967,-0.3956,-0.2210
0.2567,-0.3062,0.1462,0.2787,0.0331,-0.4342,1.2198,0.3516,-0.2191,-0.1866
0.7251,0.6805,0.5734,0.3103,-0.1808,-0.3748,0.9139,-0.0596,0.5742,0.2445
-0.0630,0.5255,0.0581,0.1136,0.8098,0.0332,0.4034,0.4902,0.5437,0.0798
0.1565,0.2518,0.0966,0.0614,-0.1115,-0.1103,0.2887,0.4728,0.5066,0.1037
-0.2136,-0.1725,0.4671,0.4550,0.2338,0.3223,0.5646,0.8091,0.0772,0.0289
0.1132,0.1794,0.6456,0.1180,-0.0149,0.2218,-0.6215,0.0381,0.3707,0.4361
0.3666,0.4563,0.4456,0.4962,0.2361,0.8351,0.7383,0.4341,0.1860,0.1759
0.6407,0.2237,0.2152,0.7281,-0.2357,0.7685,-0.0839,0.5342,0.5233,0.5232
0.6429,0.1328,0.4928,1.0829,-0.2068,0.7318,0.4233,0.6918,0.1907,0.4246
0.0559,-0.7559,-0.1205,-0.0682,-0.8533,0.3058,-0.3757,0.1129,-0.1896,0.0658
-0.7429,-0.8154,-0.7897,-0.3810,-0.7584,-0.3432,0.4079,0.1400,-0.8438,-0.5233
-0.6812,-0.6695,-0.7982,-0.8289,-1.1756,-0.9082,-0.3461,-0.3473,-0.4567,-0.3096
0.0096,0.2276,-0.8875,-0.7521,-0.6624,-0.4496,-0.3970,0.1713,-0.1346,0.3164
-0.0243,0.8403,-0.6208,-0.6063,0.1150,-0.4403,0.4385,0.2413,0.0406,0.0455
-0.1395,0.5686,-0.7297,-0.8353,0.2188,-0.4228,0.1920,0.0903,0.2488,0.0863
-0.9686,-0.4397,-0.6515,-0.8412,-0.2670,-0.6826,0.2776,-0.1918,0.1515,0.1643
-0.3358,-0.0785,-0.2075,-0.0979,-0.9471,-0.8230,0.4619,-0.3746,0.3033,0.3563
-0.2257,-0.0738,-0.3829,-0.0258,0.0336,-0.3842,-0.1978,-0.1014,-0.0606,0.0544
0.3850,0.4726,-0.1318,0.1788,-0.3621,-0.1269,-0.0399,0.6330,-0.3159,-0.5541
-0.1892,-0.1272,-0.4127,-0.1911,-0.0590,0.2047,-0.3968,0.0214,-0.7411,-0.8859
0.1299,0.0503,0.3551,0.4233,-1.2477,-0.3353,-0.0886,0.0196,-0.1754,-0.3357
-0.0285,0.3133,0.1972,0.3351,-0.5237,-0.4536,-1.7129,0.0432,0.3280,0.1825
0.3347,0.4931,0.3410,-0.5936,-0.4938,-0.5297,-0.4585,-0.7968,0.3379,0.1580
-0.0834,0.4304,-0.4704,-0.2955,0.5291,0.5334,-1.4281,-0.6819,0.1353,-0.0015
